split,video_id,calibration_status,residual_median_px,residual_p95_px,ransac_inlier_ratio,black_key_anchor_count,method,notes,json_path,video_path,skipped_existing,elapsed_s
train,2024-04-08_23-50-57,accepted_loose,3.697704315185547,24.833645820617676,0.782608695652174,31,white_edge,method=white_edge_correlation we_corr=0.504 we_med=3.70 bk_med=11.89 nc_med=12.29 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-04-08_23-50-57.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-04-08_23-50-57.mp4,False,2.89
train,2024-04-09_03-42-36,failed,4.519326210021973,26.30846395492552,0.8,30,white_edge,method=white_edge_correlation we_corr=0.550 we_med=4.52 bk_med=12.73 nc_med=12.43 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-04-09_03-42-36.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-04-09_03-42-36.mp4,False,3.01
train,2024-04-09_04-09-27,failed,8.891115188598633,170.8706481933592,0.35,29,black_key,method=black_key_ransac we_corr=0.521 we_med=10.38 bk_med=8.89 nc_med=13.43 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-04-09_04-09-27.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-04-09_04-09-27.mp4,False,3.07
train,2024-09-02_13-19-32,failed,4.524260520935059,73.12675476074219,0.4857142857142857,51,white_edge,method=white_edge_correlation we_corr=0.540 we_med=4.52 bk_med=8.52 nc_med=7.05 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-09-02_13-19-32.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-09-02_13-19-32.mp4,False,2.24
train,2024-09-02_18-25-31,accepted_loose,3.7621383666992188,48.11246919631958,0.6451612903225806,46,white_edge,method=white_edge_correlation we_corr=0.626 we_med=3.76 bk_med=3.94 nc_med=8.13 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-09-02_18-25-31.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-09-02_18-25-31.mp4,False,1.76
train,2024-09-02_18-29-40,failed,5.097382068634033,177.72290344238277,0.5428571428571428,53,white_edge,method=white_edge_correlation we_corr=0.575 we_med=5.10 bk_med=5.45 nc_med=7.16 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-09-02_18-29-40.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-09-02_18-29-40.mp4,False,2.63
train,2024-09-02_20-50-18,failed,4.35305643081665,101.51762542724605,0.5142857142857142,53,white_edge,method=white_edge_correlation we_corr=0.578 we_med=4.35 bk_med=5.21 nc_med=6.73 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-09-02_20-50-18.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-09-02_20-50-18.mp4,False,1.93
train,2024-09-02_23-49-01,failed,4.041278839111328,78.22049465179438,0.6060606060606061,48,white_edge,method=white_edge_correlation we_corr=0.599 we_med=4.04 bk_med=4.08 nc_med=7.68 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-09-02_23-49-01.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-09-02_23-49-01.mp4,False,2.95
valid,2024-02-15_20-07-54,failed,4.08721399307251,188.47599411010742,0.53125,46,white_edge,method=white_edge_correlation we_corr=0.569 we_med=4.09 bk_med=7.30 nc_med=8.23 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/valid/2024-02-15_20-07-54.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_20-07-54.mp4,False,3.19
valid,2024-02-15_20-38-23,failed,4.2699761390686035,194.36676025390625,0.5769230769230769,41,white_edge,method=white_edge_correlation we_corr=0.618 we_med=4.27 bk_med=9.53 nc_med=8.00 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/valid/2024-02-15_20-38-23.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_20-38-23.mp4,False,3.05
valid,2024-02-15_21-33-36,failed,4.142411231994629,190.440103149414,0.59375,45,white_edge,method=white_edge_correlation we_corr=0.594 we_med=4.14 bk_med=9.07 nc_med=8.51 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/valid/2024-02-15_21-33-36.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_21-33-36.mp4,False,3.1
valid,2024-03-13_11-54-57,failed,9.427377700805664,135.13010826110832,0.47619047619047616,34,white_edge,method=white_edge_correlation we_corr=0.608 we_med=9.43 bk_med=9.44 nc_med=9.96 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/valid/2024-03-13_11-54-57.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-13_11-54-57.mp4,False,2.77
valid,2024-09-02_12-45-12,accepted_loose,3.590364694595337,105.10731658935528,0.5151515151515151,49,white_edge,method=white_edge_correlation we_corr=0.543 we_med=3.59 bk_med=8.98 nc_med=7.68 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/valid/2024-09-02_12-45-12.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-09-02_12-45-12.mp4,False,2.62
valid,2024-09-02_15-05-42,failed,4.127099990844727,70.23766784667964,0.5714285714285714,53,white_edge,method=white_edge_correlation we_corr=0.616 we_med=4.13 bk_med=5.39 nc_med=7.52 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/valid/2024-09-02_15-05-42.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-09-02_15-05-42.mp4,False,3.14
