epoch,checkpoint,calibration_path,calibration_onset_open,calibration_offset_open,calibration_ev_f1_mean,eval_ev_f1_mean,eval_ev_f1_mean_anypitch,eval_patk_onset_f1,eval_patk_note_f1,eval_onset_event_f1,eval_offset_event_f1
81,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_81.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_081/calibration.json,0.063,0.05,0.07743626765429504,0.0817957316320638,0.12608300476705694,0.003981415041883398,0.0,0.09267734060886218,0.07091412265526541
16,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_16.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_016/calibration.json,0.058,0.065,0.08154196630888515,0.08176945150935042,0.12345996589710924,0.015046291356572854,0.001157402467864177,0.07786115861440897,0.08567774440429185
14,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_14.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_014/calibration.json,0.068,0.025,0.08076458513487678,0.08170223281993824,0.14725926388151744,0.020536218691635338,0.002281797699268913,0.07912296961668093,0.08428149602319555
25,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_25.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_025/calibration.json,0.068,0.07,0.08055423388297767,0.08169112853175187,0.12345996589710924,0.007458043486961604,0.0,0.07999999533410393,0.08338226172939979
19,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_19.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_019/calibration.json,0.063,0.07,0.08161920565641922,0.08098061845212748,0.12345996589710924,0.013994164149306883,0.0011661758112832972,0.07527393532786462,0.08668730157639035
13,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_13.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_013/calibration.json,0.068,0.02,0.080488309603496,0.0809478917835713,0.15302020506192665,0.01950162027440788,0.0021668423764472037,0.07969274618165184,0.08220303738549076
55,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_55.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_055/calibration.json,0.068,0.07,0.0791930764369526,0.08081251650005733,0.1232742260471015,0.005228753170007771,0.0,0.07893485032924259,0.08269018267087205
6,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_6.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_006/calibration.json,0.043,0.015,0.08456410695765368,0.08068184861144453,0.1501489079448592,0.02175094673784624,0.0021750902943495185,0.09155936557816119,0.06980433164472787
20,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_20.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_020/calibration.json,0.048,0.07,0.08076344826481521,0.08034941542914599,0.12308974545050284,0.011383034349039024,0.0011382990048378594,0.0754888540231672,0.08520997683512478
56,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_56.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_056/calibration.json,0.068,0.07,0.07913248006542584,0.07961339401806203,0.1232742260471015,0.003875963992413089,0.0,0.07900999059864316,0.0802167974374809
15,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_15.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_015/calibration.json,0.068,0.015,0.07891222886154459,0.07953327321544318,0.16951433880337172,0.015439424966142328,0.0011876434936466452,0.07576448654339459,0.08330205988749179
29,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_29.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_029/calibration.json,0.068,0.07,0.07812044960367358,0.07949802760267508,0.12345996589710924,0.013134323391502882,0.001194024884201545,0.07815442099190607,0.08084163421344409
17,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_17.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_017/calibration.json,0.068,0.025,0.07867467909700558,0.07939467504296455,0.15302020506192665,0.01256424407441678,0.0011421995285928268,0.07738927278895492,0.08140007729697418
72,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_72.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_072/calibration.json,0.068,0.07,0.07845899480006102,0.07925821526302378,0.1263171918427009,0.003799868340884969,0.0,0.07984607518388752,0.07867035534216003
84,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_84.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_084/calibration.json,0.068,0.035,0.07785068142023663,0.07903030991732278,0.1372243145924781,0.0061690264750970895,0.0024676075979125313,0.08858602574356848,0.06947459409107708
78,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_78.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_078/calibration.json,0.068,0.07,0.07855278355742865,0.07895525502954531,0.1263171918427009,0.003926696570849751,0.0,0.07965450589906765,0.07825600416002298
53,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_53.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_053/calibration.json,0.068,0.07,0.079080994331684,0.07879657838367438,0.1263171918427009,0.005358333919411543,0.0,0.0782280820886217,0.07936507467872707
70,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_70.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_070/calibration.json,0.068,0.07,0.07881529005526605,0.07868628952898792,0.1263171918427009,0.0025188866925924995,0.0,0.07927411187514909,0.07809846718282674
18,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_18.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_018/calibration.json,0.068,0.02,0.07809764912512132,0.07855724539215467,0.15870845297885838,0.00956937302243367,0.0011961672809250874,0.07746149796428033,0.07965299282002902
42,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_42.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_042/calibration.json,0.068,0.07,0.0767893897678647,0.07851827615275014,0.12345996589710924,0.012554922814969699,0.0012554877868808532,0.0769944295473953,0.080042122758105
5,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_5.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_005/calibration.json,0.018,0.01,0.07659312114208827,0.07848709565518722,0.1883503378344852,0.01608578603825948,0.002144767271662439,0.08249720803288957,0.07447698327748488
